group_id,program_id,school_id,tutor_id,group_size,subject,grade_level,sessions_per_week,session_duration_minutes,start_date
GRP-001,PROG-001,SCH-001,TUT-001,3,math,3,3,45,2025-09-08
GRP-002,PROG-001,SCH-001,TUT-002,3,reading,4,3,45,2025-09-08
GRP-003,PROG-001,SCH-001,TUT-003,5,math,5,3,45,2025-09-08
GRP-004,PROG-001,SCH-001,TUT-004,3,reading,6,3,45,2025-09-08
GRP-005,PROG-001,SCH-001,TUT-001,4,math,7,3,45,2025-09-08
GRP-006,PROG-001,SCH-001,TUT-002,3,reading,8,3,45,2025-09-08
GRP-007,PROG-001,SCH-002,TUT-005,3,math,3,3,45,2025-09-08
GRP-008,PROG-001,SCH-002,TUT-006,3,reading,4,3,45,2025-09-08
GRP-009,PROG-001,SCH-002,TUT-007,4,math,5,3,45,2025-09-08
GRP-010,PROG-001,SCH-002,TUT-005,4,reading,6,3,45,2025-09-08
GRP-011,PROG-001,SCH-002,TUT-006,4,math,7,3,45,2025-09-08
GRP-012,PROG-001,SCH-003,TUT-008,5,math,3,3,45,2025-09-08
GRP-013,PROG-001,SCH-003,TUT-009,4,reading,4,3,45,2025-09-08
GRP-014,PROG-001,SCH-003,TUT-008,3,math,5,3,45,2025-09-08
