session_id,group_id,tutor_id,scheduled_date,scheduled_start_time,duration_minutes,status,actual_duration_minutes,tutor_on_time,platform
SES-00001,GRP-001,TUT-001,2025-09-02,09:00,45,completed,44,false,virtual
SES-00002,GRP-001,TUT-001,2025-09-03,09:00,45,cancelled_school,,,in_person
SES-00003,GRP-001,TUT-001,2025-09-04,09:00,45,completed,46,true,hybrid
SES-00004,GRP-001,TUT-001,2025-09-09,09:00,45,completed,40,true,hybrid
SES-00005,GRP-001,TUT-001,2025-09-10,09:00,45,completed,46,true,in_person
SES-00006,GRP-001,TUT-001,2025-09-11,09:00,45,completed,45,true,hybrid
SES-00007,GRP-001,TUT-001,2025-09-16,09:00,45,completed,40,true,hybrid
SES-00008,GRP-001,TUT-001,2025-09-17,09:00,45,cancelled_student,,,in_person
SES-00009,GRP-001,TUT-001,2025-09-18,09:00,45,completed,50,true,hybrid
SES-00010,GRP-001,TUT-001,2025-09-23,09:00,45,completed,44,true,hybrid
SES-00011,GRP-001,TUT-001,2025-09-24,09:00,45,completed,46,true,hybrid
SES-00012,GRP-001,TUT-001,2025-09-25,09:00,45,completed,47,true,virtual
SES-00013,GRP-001,TUT-001,2025-09-30,09:00,45,cancelled_student,,,virtual
SES-00014,GRP-001,TUT-001,2025-10-01,09:00,45,no_show,,,in_person
SES-00015,GRP-001,TUT-001,2025-10-02,09:00,45,cancelled_school,,,virtual
SES-00016,GRP-001,TUT-001,2025-10-07,09:00,45,no_show,,,in_person
SES-00017,GRP-001,TUT-001,2025-10-08,09:00,45,completed,44,true,in_person
SES-00018,GRP-001,TUT-001,2025-10-09,09:00,45,completed,46,true,virtual
SES-00019,GRP-001,TUT-001,2025-10-14,09:00,45,completed,43,true,hybrid
SES-00020,GRP-001,TUT-001,2025-10-15,09:00,45,completed,41,true,hybrid
SES-00021,GRP-001,TUT-001,2025-10-16,09:00,45,cancelled_student,,,in_person
SES-00022,GRP-001,TUT-001,2025-10-21,09:00,45,completed,41,true,hybrid
SES-00023,GRP-001,TUT-001,2025-10-22,09:00,45,completed,46,true,virtual
SES-00024,GRP-001,TUT-001,2025-10-23,09:00,45,completed,46,true,virtual
SES-00025,GRP-001,TUT-001,2025-10-28,09:00,45,completed,49,true,hybrid
SES-00026,GRP-001,TUT-001,2025-10-29,09:00,45,completed,41,true,in_person
SES-00027,GRP-001,TUT-001,2025-10-30,09:00,45,completed,49,true,in_person
SES-00028,GRP-001,TUT-001,2025-11-04,09:00,45,completed,44,true,in_person
SES-00029,GRP-001,TUT-001,2025-11-05,09:00,45,completed,42,true,hybrid
SES-00030,GRP-001,TUT-001,2025-11-06,09:00,45,completed,48,true,virtual
SES-00031,GRP-001,TUT-001,2025-11-11,09:00,45,completed,50,true,in_person
SES-00032,GRP-001,TUT-001,2025-11-12,09:00,45,completed,44,true,hybrid
