student_id,program_id,school_id,grade_level,gender,race_ethnicity,iep,ell,free_reduced_lunch,enrollment_date,active,tutoring_group_id
STU-00001,PROG-001,SCH-001,5,F,Black,false,false,false,2025-09-09,true,GRP-001
STU-00002,PROG-001,SCH-001,5,F,Black,false,true,true,2025-09-01,true,
STU-00003,PROG-001,SCH-001,7,F,White,false,false,false,2025-09-12,true,GRP-003
STU-00004,PROG-001,SCH-001,7,M,Asian,true,false,false,2025-09-01,true,GRP-004
STU-00005,PROG-001,SCH-001,3,F,White,false,true,true,2025-09-06,true,GRP-005
STU-00006,PROG-001,SCH-001,6,M,Black,true,false,false,2025-09-10,true,GRP-006
STU-00007,PROG-001,SCH-001,4,NB,Hispanic,false,false,false,2025-09-07,true,
STU-00008,PROG-001,SCH-001,8,F,Black,false,false,false,2025-09-13,true,GRP-002
STU-00009,PROG-001,SCH-001,6,M,Black,false,false,true,2025-09-04,true,GRP-003
STU-00010,PROG-001,SCH-001,4,F,Hispanic,false,false,false,2025-09-01,true,GRP-004
STU-00011,PROG-001,SCH-001,5,M,Black,false,true,false,2025-09-11,true,GRP-005
STU-00012,PROG-001,SCH-001,5,F,Hispanic,false,false,true,2025-09-03,true,GRP-006
STU-00013,PROG-001,SCH-001,5,U,NHPI,true,false,true,2025-09-07,true,GRP-001
STU-00014,PROG-001,SCH-001,8,F,Asian,false,false,true,2025-09-07,true,
STU-00015,PROG-001,SCH-001,8,NB,TwoOrMore,false,false,false,2025-09-04,true,GRP-003
STU-00016,PROG-001,SCH-001,3,M,Hispanic,false,false,true,2025-09-12,true,GRP-004
STU-00017,PROG-001,SCH-001,7,F,Hispanic,false,false,false,2025-09-03,true,GRP-005
STU-00018,PROG-001,SCH-001,7,F,Hispanic,false,false,true,2025-09-05,true,GRP-006
STU-00019,PROG-001,SCH-001,7,F,White,false,false,false,2025-09-11,true,GRP-001
STU-00020,PROG-001,SCH-001,8,M,Hispanic,false,false,false,2025-09-03,true,GRP-002
STU-00021,PROG-001,SCH-001,4,M,Hispanic,false,false,true,2025-09-11,true,GRP-003
STU-00022,PROG-001,SCH-001,7,F,White,false,true,false,2025-09-14,true,GRP-004
STU-00023,PROG-001,SCH-001,6,M,Hispanic,false,false,false,2025-09-08,true,GRP-005
STU-00024,PROG-001,SCH-001,3,M,Hispanic,false,false,false,2025-09-13,true,GRP-006
STU-00025,PROG-001,SCH-001,4,M,Black,false,false,true,2025-09-14,true,GRP-001
STU-00026,PROG-001,SCH-001,5,M,Hispanic,false,false,true,2025-09-13,true,GRP-002
STU-00027,PROG-001,SCH-001,7,F,Hispanic,false,false,false,2025-09-08,true,GRP-003
STU-00028,PROG-001,SCH-001,8,F,Asian,false,false,true,2025-09-05,true,GRP-004
STU-00029,PROG-001,SCH-001,5,F,Black,false,false,true,2025-09-04,true,GRP-005
STU-00030,PROG-001,SCH-001,8,M,Unknown,false,true,true,2025-09-03,true,GRP-006
STU-00031,PROG-001,SCH-001,4,M,TwoOrMore,false,false,true,2025-09-14,true,GRP-001
STU-00032,PROG-001,SCH-001,7,F,White,false,false,false,2025-09-07,true,GRP-002
STU-00033,PROG-001,SCH-001,6,NB,Hispanic,false,false,false,2025-09-09,true,GRP-003
STU-00034,PROG-001,SCH-001,6,F,White,false,false,true,2025-09-08,true,
STU-00035,PROG-001,SCH-001,6,M,Hispanic,false,false,true,2025-09-03,true,GRP-005
