response_id,survey_id,student_id,question_code,question_text,response_value,response_type,responded_at
RSP-000001,SRV-001,STU-00013,Q1,I enjoy my tutoring sessions.,1,likert_5,2025-11-15T09:20:00Z
RSP-000002,SRV-001,STU-00013,Q3,I feel more confident in this subject.,2,likert_5,2025-11-15T13:51:00Z
RSP-000003,SRV-001,STU-00013,NPS_SCORE,How likely are you to recommend this program?,10,nps,2025-11-15T17:16:00Z
RSP-000004,SRV-001,STU-00101,Q1,I enjoy my tutoring sessions.,5,likert_5,2025-11-15T13:02:00Z
RSP-000005,SRV-001,STU-00101,Q2,My tutor explains things clearly.,1,likert_5,2025-11-15T15:06:00Z
RSP-000006,SRV-001,STU-00101,Q3,I feel more confident in this subject.,2,likert_5,2025-11-15T10:29:00Z
RSP-000007,SRV-001,STU-00101,NPS_SCORE,How likely are you to recommend this program?,0,nps,2025-11-15T13:45:00Z
RSP-000008,SRV-001,STU-00093,Q1,I enjoy my tutoring sessions.,3,likert_5,2025-11-15T18:01:00Z
RSP-000009,SRV-001,STU-00093,Q2,My tutor explains things clearly.,1,likert_5,2025-11-15T08:00:00Z
RSP-000010,SRV-001,STU-00093,Q3,I feel more confident in this subject.,3,likert_5,2025-11-15T18:39:00Z
RSP-000011,SRV-001,STU-00093,NPS_SCORE,How likely are you to recommend this program?,4,nps,2025-11-15T20:46:00Z
RSP-000012,SRV-001,STU-00115,Q2,My tutor explains things clearly.,5,likert_5,2025-11-15T09:00:00Z
RSP-000013,SRV-001,STU-00115,Q3,I feel more confident in this subject.,2,likert_5,2025-11-15T08:56:00Z
RSP-000014,SRV-001,STU-00115,NPS_SCORE,How likely are you to recommend this program?,0,nps,2025-11-15T16:39:00Z
RSP-000015,SRV-001,STU-00086,Q1,I enjoy my tutoring sessions.,3,likert_5,2025-11-15T09:04:00Z
RSP-000016,SRV-001,STU-00086,Q2,My tutor explains things clearly.,5,likert_5,2025-11-15T09:14:00Z
RSP-000017,SRV-001,STU-00086,Q3,I feel more confident in this subject.,3,likert_5,2025-11-15T17:39:00Z
RSP-000018,SRV-001,STU-00086,NPS_SCORE,How likely are you to recommend this program?,8,nps,2025-11-15T13:22:00Z
RSP-000019,SRV-001,STU-00091,Q1,I enjoy my tutoring sessions.,2,likert_5,2025-11-15T13:43:00Z
RSP-000020,SRV-001,STU-00091,Q2,My tutor explains things clearly.,2,likert_5,2025-11-15T08:23:00Z
RSP-000021,SRV-001,STU-00091,Q3,I feel more confident in this subject.,1,likert_5,2025-11-15T08:26:00Z
RSP-000022,SRV-001,STU-00091,NPS_SCORE,How likely are you to recommend this program?,9,nps,2025-11-15T17:00:00Z
RSP-000023,SRV-001,STU-00021,Q1,I enjoy my tutoring sessions.,4,likert_5,2025-11-15T17:27:00Z
RSP-000024,SRV-001,STU-00021,Q2,My tutor explains things clearly.,5,likert_5,2025-11-15T08:04:00Z
RSP-000025,SRV-001,STU-00021,Q3,I feel more confident in this subject.,4,likert_5,2025-11-15T15:16:00Z
RSP-000026,SRV-001,STU-00094,Q1,I enjoy my tutoring sessions.,2,likert_5,2025-11-15T15:32:00Z
RSP-000027,SRV-001,STU-00094,Q2,My tutor explains things clearly.,2,likert_5,2025-11-15T19:56:00Z
RSP-000028,SRV-001,STU-00094,Q3,I feel more confident in this subject.,2,likert_5,2025-11-15T17:54:00Z
RSP-000029,SRV-001,STU-00094,NPS_SCORE,How likely are you to recommend this program?,9,nps,2025-11-15T19:23:00Z
RSP-000030,SRV-001,STU-00123,Q1,I enjoy my tutoring sessions.,1,likert_5,2025-11-15T08:25:00Z
RSP-000031,SRV-001,STU-00123,Q2,My tutor explains things clearly.,4,likert_5,2025-11-15T20:54:00Z
RSP-000032,SRV-001,STU-00123,Q3,I feel more confident in this subject.,3,likert_5,2025-11-15T13:00:00Z
RSP-000033,SRV-001,STU-00123,NPS_SCORE,How likely are you to recommend this program?,10,nps,2025-11-15T13:53:00Z
RSP-000034,SRV-001,STU-00051,Q2,My tutor explains things clearly.,4,likert_5,2025-11-15T13:16:00Z
RSP-000035,SRV-001,STU-00051,NPS_SCORE,How likely are you to recommend this program?,4,nps,2025-11-15T09:29:00Z
RSP-000036,SRV-001,STU-00129,Q1,I enjoy my tutoring sessions.,2,likert_5,2025-11-15T17:03:00Z
RSP-000037,SRV-001,STU-00129,Q2,My tutor explains things clearly.,5,likert_5,2025-11-15T19:49:00Z
RSP-000038,SRV-001,STU-00129,NPS_SCORE,How likely are you to recommend this program?,4,nps,2025-11-15T13:54:00Z
RSP-000039,SRV-001,STU-00027,Q3,I feel more confident in this subject.,5,likert_5,2025-11-15T08:41:00Z
RSP-000040,SRV-001,STU-00027,NPS_SCORE,How likely are you to recommend this program?,6,nps,2025-11-15T18:02:00Z
RSP-000041,SRV-001,STU-00073,Q1,I enjoy my tutoring sessions.,1,likert_5,2025-11-15T18:48:00Z
RSP-000042,SRV-001,STU-00073,Q2,My tutor explains things clearly.,5,likert_5,2025-11-15T14:32:00Z
RSP-000043,SRV-001,STU-00073,Q3,I feel more confident in this subject.,1,likert_5,2025-11-15T10:56:00Z
RSP-000044,SRV-001,STU-00073,NPS_SCORE,How likely are you to recommend this program?,1,nps,2025-11-15T14:25:00Z
RSP-000045,SRV-001,STU-00024,Q1,I enjoy my tutoring sessions.,2,likert_5,2025-11-15T17:59:00Z
RSP-000046,SRV-001,STU-00024,Q3,I feel more confident in this subject.,3,likert_5,2025-11-15T15:21:00Z
RSP-000047,SRV-001,STU-00024,NPS_SCORE,How likely are you to recommend this program?,9,nps,2025-11-15T16:50:00Z
RSP-000048,SRV-001,STU-00128,Q1,I enjoy my tutoring sessions.,4,likert_5,2025-11-15T13:54:00Z
RSP-000049,SRV-001,STU-00128,Q2,My tutor explains things clearly.,2,likert_5,2025-11-15T09:10:00Z
RSP-000050,SRV-001,STU-00128,Q3,I feel more confident in this subject.,5,likert_5,2025-11-15T20:27:00Z
RSP-000051,SRV-001,STU-00128,NPS_SCORE,How likely are you to recommend this program?,6,nps,2025-11-15T08:14:00Z
RSP-000052,SRV-001,STU-00106,Q1,I enjoy my tutoring sessions.,2,likert_5,2025-11-15T14:42:00Z
RSP-000053,SRV-001,STU-00106,Q2,My tutor explains things clearly.,2,likert_5,2025-11-15T20:00:00Z
RSP-000054,SRV-001,STU-00106,Q3,I feel more confident in this subject.,2,likert_5,2025-11-15T15:23:00Z
RSP-000055,SRV-001,STU-00106,NPS_SCORE,How likely are you to recommend this program?,2,nps,2025-11-15T09:16:00Z
RSP-000056,SRV-001,STU-00002,Q1,I enjoy my tutoring sessions.,4,likert_5,2025-11-15T08:44:00Z
RSP-000057,SRV-001,STU-00002,Q2,My tutor explains things clearly.,1,likert_5,2025-11-15T15:07:00Z
RSP-000058,SRV-001,STU-00002,NPS_SCORE,How likely are you to recommend this program?,2,nps,2025-11-15T11:45:00Z
RSP-000059,SRV-001,STU-00077,Q1,I enjoy my tutoring sessions.,1,likert_5,2025-11-15T10:12:00Z
RSP-000060,SRV-001,STU-00077,Q2,My tutor explains things clearly.,2,likert_5,2025-11-15T09:41:00Z
RSP-000061,SRV-001,STU-00077,Q3,I feel more confident in this subject.,2,likert_5,2025-11-15T09:22:00Z
RSP-000062,SRV-001,STU-00077,NPS_SCORE,How likely are you to recommend this program?,8,nps,2025-11-15T20:07:00Z
RSP-000063,SRV-001,STU-00005,Q1,I enjoy my tutoring sessions.,4,likert_5,2025-11-15T19:00:00Z
RSP-000064,SRV-001,STU-00005,Q2,My tutor explains things clearly.,5,likert_5,2025-11-15T09:27:00Z
RSP-000065,SRV-001,STU-00070,Q1,I enjoy my tutoring sessions.,5,likert_5,2025-11-15T13:21:00Z
RSP-000066,SRV-001,STU-00070,Q2,My tutor explains things clearly.,1,likert_5,2025-11-15T19:37:00Z
RSP-000067,SRV-001,STU-00070,Q3,I feel more confident in this subject.,5,likert_5,2025-11-15T19:29:00Z
RSP-000068,SRV-001,STU-00070,NPS_SCORE,How likely are you to recommend this program?,7,nps,2025-11-15T10:45:00Z
RSP-000069,SRV-001,STU-00043,Q1,I enjoy my tutoring sessions.,4,likert_5,2025-11-15T16:33:00Z
RSP-000070,SRV-001,STU-00043,NPS_SCORE,How likely are you to recommend this program?,5,nps,2025-11-15T11:30:00Z
RSP-000071,SRV-001,STU-00099,Q1,I enjoy my tutoring sessions.,5,likert_5,2025-11-15T11:04:00Z
RSP-000072,SRV-001,STU-00099,Q2,My tutor explains things clearly.,4,likert_5,2025-11-15T17:09:00Z
RSP-000073,SRV-001,STU-00099,Q3,I feel more confident in this subject.,5,likert_5,2025-11-15T15:57:00Z
RSP-000074,SRV-001,STU-00042,Q1,I enjoy my tutoring sessions.,3,likert_5,2025-11-15T12:55:00Z
RSP-000075,SRV-001,STU-00042,NPS_SCORE,How likely are you to recommend this program?,2,nps,2025-11-15T19:48:00Z
RSP-000076,SRV-001,STU-00014,Q1,I enjoy my tutoring sessions.,1,likert_5,2025-11-15T08:11:00Z
RSP-000077,SRV-001,STU-00014,Q2,My tutor explains things clearly.,5,likert_5,2025-11-15T12:34:00Z
